,OrderID,Time Submission,Direction_x,Price Submission,Size Submission,Time Cancellation,lifetime,Size Cancellation,Ask Price 1 Submission,Bid Price 1 Submission,Ask Price 1 Cancellation,Bid Price 1 Cancellation,Effective Spread Start,Effective Spread End,Volatility,Number of Orders Submitted
156,174091989,08:02.9,1,2225900,200,08:04.7,1.734681241,100,2227800,2226800,2227800,2226800,1000,1000,687.8439687,2071
157,177174630,14:23.8,1,2223500,600,14:23.8,0.002491094,200,2225500,2224100,2225500,2224100,1400,1400,688.251628,1836
158,179195944,18:16.4,1,2228300,200,18:16.4,0.011035406,100,2230000,2228900,2229900,2228900,1100,1000,1123.341048,1786
159,179249399,18:19.3,1,2227200,600,18:19.4,0.125342718,200,2229500,2227700,2229100,2227200,1800,1900,1127.173894,1815
160,179249755,18:19.3,1,2227100,200,18:19.3,0.019827687,100,2229500,2227700,2229400,2227700,1800,1700,1127.173894,1816
161,179658671,19:01.0,1,2226800,600,19:03.6,2.643083593,200,2228300,2226900,2228300,2226900,1400,1400,1122.164869,1807
162,179693090,19:03.6,1,2226400,600,19:04.6,0.930795772,200,2228300,2226900,2228300,2226900,1400,1400,1122.164869,1807
163,180480742,20:04.0,1,2223800,600,20:07.0,2.96202732,200,2225600,2224300,2225600,2224200,1300,1400,1174.948601,1949
164,182514239,23:39.4,1,2228700,600,23:50.0,10.66986787,200,2230400,2229000,2229900,2229000,1400,900,1327.973854,2013
165,182945659,24:32.1,1,2226200,600,24:36.5,4.364989833,200,2227400,2226500,2227600,2226400,900,1200,1353.539674,2060
166,183398035,25:15.9,1,2225900,600,25:18.4,2.480179284,200,2227000,2226000,2227000,2226000,1000,1000,1327.781049,2144
167,183484989,25:23.2,1,2225100,600,25:28.3,5.087296857,200,2226600,2226000,2227200,2226000,600,1200,1339.800111,2158
168,185524639,30:04.1,1,2224100,600,30:04.1,0.046313981,200,2225900,2224800,2225900,2224300,1100,1600,1395.552656,2166
169,186891047,32:04.6,1,2224500,600,32:04.6,0.003858125,200,2226200,2225000,2226200,2225000,1200,1200,1428.279018,2381
170,190817217,38:19.7,-1,2224100,200,38:19.8,0.02069547,100,2223500,2221900,2223500,2222100,1600,1400,1749.126456,2738
171,193401698,41:51.1,1,2214600,200,41:51.1,0.000476286,100,2216400,2215100,2216400,2215100,1300,1300,3782.495336,2943
172,193442160,41:55.1,1,2214800,200,41:56.0,0.917078283,100,2216700,2215100,2216900,2215200,1600,1700,3858.129854,2961
173,193626940,42:04.1,1,2215900,200,42:04.1,0.001200151,100,2217800,2216500,2217800,2216500,1300,1300,3933.574851,3038
174,198206729,49:39.3,1,2216500,200,49:39.3,0.000461997,100,2218000,2217000,2218000,2217000,1000,1000,2192.921718,2946
175,199100990,51:35.5,1,2216800,200,51:35.9,0.394650412,100,2218600,2218100,2218600,2217000,500,1600,1865.517521,2839
176,199574544,52:38.2,1,2218100,200,52:39.4,1.225299753,100,2220400,2218900,2220400,2219100,1500,1300,1685.704526,2814
177,200237732,53:42.4,1,2217700,200,53:43.0,0.660265387,100,2219500,2218600,2219500,2218600,900,900,1598.813685,3041
